PID,Type,Arrival,Burst
70,HEAVY_CPU,118,48
71,LIGHT_IO,118,5
72,LIGHT_IO,118,3
73,LIGHT_IO,122,5
74,HEAVY_CPU,122,67
75,HEAVY_CPU,122,59
76,LIGHT_IO,124,5
77,HEAVY_CPU,124,53
78,HEAVY_CPU,127,56
79,LIGHT_IO,127,6
80,HEAVY_CPU,131,41
81,LIGHT_IO,131,3
82,LIGHT_IO,133,3
83,HEAVY_CPU,133,58
84,HEAVY_CPU,133,57
85,HEAVY_CPU,135,61
86,HEAVY_CPU,136,43
87,LIGHT_IO,136,5
88,HEAVY_CPU,136,50
89,HEAVY_CPU,136,54
90,LIGHT_IO,136,2
91,LIGHT_IO,136,1
92,LIGHT_IO,143,5
93,LIGHT_IO,146,6
94,HEAVY_CPU,149,37
95,HEAVY_CPU,150,56
96,LIGHT_IO,150,2
97,LIGHT_IO,150,2
98,LIGHT_IO,150,1
99,LIGHT_IO,151,3
100,LIGHT_IO,151,5
101,LIGHT_IO,153,3
102,HEAVY_CPU,154,56
103,LIGHT_IO,154,9
104,LIGHT_IO,155,8
105,LIGHT_IO,158,5
106,HEAVY_CPU,158,43
107,LIGHT_IO,158,5
108,LIGHT_IO,161,6
109,HEAVY_CPU,163,55
110,LIGHT_IO,165,2
111,HEAVY_CPU,165,54
112,LIGHT_IO,167,5
113,LIGHT_IO,173,1
114,LIGHT_IO,174,9
115,LIGHT_IO,181,2
116,LIGHT_IO,181,6
117,HEAVY_CPU,182,61
118,LIGHT_IO,183,4
119,LIGHT_IO,184,4
120,LIGHT_IO,189,6
121,LIGHT_IO,192,7
122,HEAVY_CPU,196,50
123,LIGHT_IO,196,3
124,LIGHT_IO,197,5
125,LIGHT_IO,199,5
126,LIGHT_IO,201,4
127,LIGHT_IO,201,1
128,LIGHT_IO,202,6
129,HEAVY_CPU,203,54
130,LIGHT_IO,206,3
131,LIGHT_IO,206,5
132,HEAVY_CPU,214,54
133,HEAVY_CPU,217,58
134,LIGHT_IO,218,4
135,LIGHT_IO,219,3
136,LIGHT_IO,219,8
137,LIGHT_IO,219,5
138,HEAVY_CPU,219,34
139,HEAVY_CPU,222,54
140,LIGHT_IO,223,7
141,HEAVY_CPU,225,23
142,LIGHT_IO,226,4
143,LIGHT_IO,229,6
144,LIGHT_IO,229,2
145,HEAVY_CPU,231,42
146,LIGHT_IO,231,6
147,LIGHT_IO,232,5
148,HEAVY_CPU,236,41
149,HEAVY_CPU,236,77
150,LIGHT_IO,237,3
151,HEAVY_CPU,238,43
152,LIGHT_IO,239,4
153,LIGHT_IO,239,7
154,LIGHT_IO,239,7
155,LIGHT_IO,241,7
156,LIGHT_IO,241,7
157,HEAVY_CPU,249,52
158,LIGHT_IO,250,8
159,LIGHT_IO,250,5
160,LIGHT_IO,254,7
161,LIGHT_IO,254,1
162,LIGHT_IO,254,2
163,LIGHT_IO,257,6
164,HEAVY_CPU,259,46
165,HEAVY_CPU,259,44
166,HEAVY_CPU,259,40
167,LIGHT_IO,259,5
168,LIGHT_IO,259,7
169,HEAVY_CPU,260,35
170,LIGHT_IO,264,2
171,LIGHT_IO,268,4
172,HEAVY_CPU,271,42
173,LIGHT_IO,277,3
174,HEAVY_CPU,279,24
175,LIGHT_IO,279,3
176,HEAVY_CPU,279,48
177,LIGHT_IO,279,3
178,LIGHT_IO,280,6
179,LIGHT_IO,280,5
180,HEAVY_CPU,281,37
181,LIGHT_IO,283,8
182,HEAVY_CPU,285,36
183,LIGHT_IO,289,5
184,LIGHT_IO,290,5
185,HEAVY_CPU,290,50
186,HEAVY_CPU,298,50
187,HEAVY_CPU,298,68
188,LIGHT_IO,298,4
189,HEAVY_CPU,299,75
190,LIGHT_IO,302,4
191,LIGHT_IO,302,6
192,HEAVY_CPU,304,53
193,HEAVY_CPU,307,54
194,LIGHT_IO,307,3
195,LIGHT_IO,308,1
196,HEAVY_CPU,308,42
197,LIGHT_IO,308,3
198,LIGHT_IO,309,3
199,LIGHT_IO,309,6
200,HEAVY_CPU,309,46
201,LIGHT_IO,311,1
202,LIGHT_IO,313,6
203,LIGHT_IO,324,5
204,LIGHT_IO,324,1
205,LIGHT_IO,324,4
206,HEAVY_CPU,324,39
207,HEAVY_CPU,327,48
208,LIGHT_IO,330,8
209,LIGHT_IO,330,4
210,LIGHT_IO,331,4
211,HEAVY_CPU,331,47
212,HEAVY_CPU,331,61
213,HEAVY_CPU,337,44
214,HEAVY_CPU,337,70
215,HEAVY_CPU,339,45
216,LIGHT_IO,340,5
217,HEAVY_CPU,342,52
218,LIGHT_IO,345,3
219,LIGHT_IO,350,5
220,HEAVY_CPU,350,40
221,LIGHT_IO,351,5
222,LIGHT_IO,351,4
223,HEAVY_CPU,352,58
224,LIGHT_IO,352,6
225,LIGHT_IO,356,7
226,HEAVY_CPU,356,49
227,LIGHT_IO,358,3
228,LIGHT_IO,358,9
229,LIGHT_IO,358,2
230,LIGHT_IO,360,5
231,LIGHT_IO,361,6
232,LIGHT_IO,361,1
233,LIGHT_IO,366,4
234,LIGHT_IO,368,4
235,LIGHT_IO,371,5
236,HEAVY_CPU,371,60
237,LIGHT_IO,371,4
238,HEAVY_CPU,375,33
239,LIGHT_IO,375,5
240,HEAVY_CPU,377,48
241,LIGHT_IO,397,5
242,LIGHT_IO,397,6
243,LIGHT_IO,397,4
244,LIGHT_IO,397,6
245,LIGHT_IO,397,4
246,LIGHT_IO,399,3
247,LIGHT_IO,402,5
248,LIGHT_IO,403,2
249,HEAVY_CPU,403,46
250,LIGHT_IO,403,4
251,LIGHT_IO,405,4
252,LIGHT_IO,408,4
253,LIGHT_IO,408,6
254,LIGHT_IO,408,5
255,LIGHT_IO,409,4
256,LIGHT_IO,410,2
257,LIGHT_IO,410,5
258,LIGHT_IO,411,3
259,HEAVY_CPU,415,43
260,LIGHT_IO,422,4
261,LIGHT_IO,423,3
262,HEAVY_CPU,423,53
263,LIGHT_IO,423,3
264,HEAVY_CPU,426,50
265,LIGHT_IO,428,6
266,LIGHT_IO,428,6
267,HEAVY_CPU,430,34
268,HEAVY_CPU,430,36
269,HEAVY_CPU,430,79
270,HEAVY_CPU,430,51
271,LIGHT_IO,431,5
272,LIGHT_IO,432,2
273,LIGHT_IO,432,6
274,HEAVY_CPU,434,42
275,LIGHT_IO,436,3
276,LIGHT_IO,436,4
277,LIGHT_IO,440,3
278,HEAVY_CPU,441,43
279,LIGHT_IO,442,4
280,LIGHT_IO,444,5
281,LIGHT_IO,444,2
282,LIGHT_IO,444,4
283,HEAVY_CPU,444,35
284,HEAVY_CPU,452,33
285,LIGHT_IO,462,5
286,LIGHT_IO,464,3
287,LIGHT_IO,467,3
288,HEAVY_CPU,467,48
289,LIGHT_IO,469,5
290,HEAVY_CPU,470,41
291,LIGHT_IO,471,6
292,LIGHT_IO,478,5
293,LIGHT_IO,479,2
294,LIGHT_IO,481,4
295,LIGHT_IO,485,9
296,LIGHT_IO,485,2
297,LIGHT_IO,487,6
298,HEAVY_CPU,490,48
299,HEAVY_CPU,490,52
300,HEAVY_CPU,491,65
301,LIGHT_IO,493,9
302,HEAVY_CPU,496,43
303,HEAVY_CPU,497,60
304,LIGHT_IO,497,3
305,HEAVY_CPU,500,45
306,HEAVY_CPU,501,42
307,LIGHT_IO,505,8
308,LIGHT_IO,505,9
309,HEAVY_CPU,507,49
310,LIGHT_IO,507,8
311,LIGHT_IO,514,3
312,HEAVY_CPU,516,55
313,HEAVY_CPU,516,42
314,LIGHT_IO,516,7
315,LIGHT_IO,521,2
316,HEAVY_CPU,521,51
317,LIGHT_IO,521,3
318,LIGHT_IO,523,5
319,HEAVY_CPU,524,56
320,HEAVY_CPU,524,48
321,HEAVY_CPU,524,46
322,LIGHT_IO,528,3
323,LIGHT_IO,528,5
324,LIGHT_IO,528,4
325,LIGHT_IO,528,4
326,HEAVY_CPU,528,47
327,HEAVY_CPU,528,33
328,LIGHT_IO,533,5
329,HEAVY_CPU,533,51
330,LIGHT_IO,536,6
331,LIGHT_IO,546,4
332,LIGHT_IO,548,1
333,LIGHT_IO,550,1
334,HEAVY_CPU,552,51
335,LIGHT_IO,552,2
336,HEAVY_CPU,553,45
337,LIGHT_IO,553,1
338,HEAVY_CPU,553,61
339,LIGHT_IO,553,9
340,HEAVY_CPU,555,38
341,LIGHT_IO,555,3
342,HEAVY_CPU,555,39
343,HEAVY_CPU,556,65
344,HEAVY_CPU,558,49
345,LIGHT_IO,559,4
346,HEAVY_CPU,560,46
347,LIGHT_IO,562,5
348,HEAVY_CPU,563,50
349,HEAVY_CPU,563,68
350,LIGHT_IO,563,5
351,LIGHT_IO,565,1
352,HEAVY_CPU,568,52
353,HEAVY_CPU,570,56
354,HEAVY_CPU,573,48
355,HEAVY_CPU,573,49
356,LIGHT_IO,573,6
357,HEAVY_CPU,575,59
358,LIGHT_IO,577,5
359,HEAVY_CPU,580,39
360,LIGHT_IO,585,4
361,HEAVY_CPU,585,28
362,LIGHT_IO,585,6
363,LIGHT_IO,587,5
364,LIGHT_IO,587,3
365,LIGHT_IO,590,7
366,LIGHT_IO,596,6
367,LIGHT_IO,600,3
368,LIGHT_IO,603,4
369,HEAVY_CPU,603,43
370,HEAVY_CPU,605,59
371,HEAVY_CPU,606,64
372,HEAVY_CPU,606,41
373,LIGHT_IO,607,1
374,LIGHT_IO,607,6
375,HEAVY_CPU,608,70
376,LIGHT_IO,608,5
377,LIGHT_IO,614,1
378,HEAVY_CPU,614,55
379,HEAVY_CPU,616,58
380,HEAVY_CPU,619,39
381,LIGHT_IO,619,3
382,HEAVY_CPU,619,54
383,LIGHT_IO,622,4
384,LIGHT_IO,626,9
385,LIGHT_IO,631,5
386,LIGHT_IO,635,2
387,HEAVY_CPU,636,53
388,HEAVY_CPU,636,44
389,HEAVY_CPU,636,36
390,LIGHT_IO,638,5
391,HEAVY_CPU,643,46
392,LIGHT_IO,643,4
393,LIGHT_IO,643,4
394,LIGHT_IO,644,1
395,HEAVY_CPU,646,52
396,LIGHT_IO,646,5
397,LIGHT_IO,648,3
398,LIGHT_IO,649,5
399,LIGHT_IO,654,8
400,HEAVY_CPU,665,50
401,HEAVY_CPU,667,75
402,HEAVY_CPU,676,50
403,LIGHT_IO,678,7
404,LIGHT_IO,680,5
405,HEAVY_CPU,680,60
406,LIGHT_IO,687,4
407,LIGHT_IO,689,5
408,LIGHT_IO,689,5
409,HEAVY_CPU,689,58
410,LIGHT_IO,690,4
411,LIGHT_IO,693,1
412,HEAVY_CPU,698,40
413,LIGHT_IO,698,5
414,LIGHT_IO,700,4
415,LIGHT_IO,700,1
416,LIGHT_IO,701,6
417,LIGHT_IO,703,8
418,HEAVY_CPU,704,52
419,LIGHT_IO,705,7
420,LIGHT_IO,706,7
421,LIGHT_IO,706,5
422,LIGHT_IO,706,7
423,LIGHT_IO,708,5
424,LIGHT_IO,711,5
425,LIGHT_IO,713,5
426,LIGHT_IO,713,2
427,LIGHT_IO,715,3
428,LIGHT_IO,715,3
429,LIGHT_IO,720,5
430,HEAVY_CPU,721,38
431,LIGHT_IO,721,4
432,LIGHT_IO,722,4
433,LIGHT_IO,723,6
434,LIGHT_IO,725,5
435,HEAVY_CPU,725,42
436,LIGHT_IO,725,3
437,HEAVY_CPU,726,49
438,LIGHT_IO,729,3
439,LIGHT_IO,731,3
440,LIGHT_IO,731,2
441,LIGHT_IO,731,2
442,LIGHT_IO,731,5
443,LIGHT_IO,734,7
444,LIGHT_IO,734,3
445,LIGHT_IO,738,5
446,HEAVY_CPU,738,52
447,HEAVY_CPU,738,51
448,LIGHT_IO,748,2
449,HEAVY_CPU,751,45
450,LIGHT_IO,752,4
451,HEAVY_CPU,753,55
452,LIGHT_IO,756,2
453,LIGHT_IO,763,5
454,LIGHT_IO,765,6
455,HEAVY_CPU,768,46
456,LIGHT_IO,770,5
457,HEAVY_CPU,779,46
458,LIGHT_IO,780,5
459,HEAVY_CPU,781,42
460,LIGHT_IO,781,2
461,LIGHT_IO,782,4
462,LIGHT_IO,786,3
463,LIGHT_IO,789,1
464,LIGHT_IO,799,3
465,LIGHT_IO,799,5
466,LIGHT_IO,800,1
467,LIGHT_IO,800,2
468,LIGHT_IO,803,11
469,LIGHT_IO,803,1
470,LIGHT_IO,803,6
471,LIGHT_IO,803,4
472,HEAVY_CPU,804,38
473,LIGHT_IO,809,6
474,LIGHT_IO,812,1
475,LIGHT_IO,812,6
476,LIGHT_IO,812,6
477,LIGHT_IO,812,6
478,LIGHT_IO,815,4
479,HEAVY_CPU,815,53
480,LIGHT_IO,815,4
481,LIGHT_IO,816,7
482,LIGHT_IO,819,5
483,LIGHT_IO,819,3
484,LIGHT_IO,821,8
485,HEAVY_CPU,821,41
486,LIGHT_IO,821,1
487,LIGHT_IO,821,6
488,LIGHT_IO,821,2
489,LIGHT_IO,821,4
490,LIGHT_IO,824,2
491,LIGHT_IO,825,2
492,LIGHT_IO,825,6
493,LIGHT_IO,825,6
494,LIGHT_IO,825,5
495,LIGHT_IO,825,5
496,LIGHT_IO,826,5
497,HEAVY_CPU,826,70
498,LIGHT_IO,827,5
499,LIGHT_IO,827,2
500,LIGHT_IO,828,4
501,HEAVY_CPU,829,41
502,HEAVY_CPU,832,40
503,LIGHT_IO,833,4
504,LIGHT_IO,834,6
505,HEAVY_CPU,836,74
506,LIGHT_IO,840,5
507,LIGHT_IO,841,3
508,HEAVY_CPU,843,49
509,LIGHT_IO,843,6
510,HEAVY_CPU,845,55
511,LIGHT_IO,850,1
512,LIGHT_IO,850,4
513,LIGHT_IO,850,6
514,HEAVY_CPU,850,47
515,HEAVY_CPU,851,38
516,LIGHT_IO,851,5
517,LIGHT_IO,852,3
518,LIGHT_IO,854,5
519,LIGHT_IO,854,2
520,LIGHT_IO,855,5
521,HEAVY_CPU,856,22
522,LIGHT_IO,858,3
523,HEAVY_CPU,859,57
524,HEAVY_CPU,860,39
525,LIGHT_IO,860,2
526,LIGHT_IO,860,8
527,LIGHT_IO,860,3
528,LIGHT_IO,860,4
529,LIGHT_IO,861,4
530,LIGHT_IO,862,10
531,HEAVY_CPU,868,41
532,LIGHT_IO,868,7
533,HEAVY_CPU,869,53
534,LIGHT_IO,869,5
535,HEAVY_CPU,872,52
536,HEAVY_CPU,872,24
537,LIGHT_IO,873,4
538,LIGHT_IO,873,4
539,LIGHT_IO,876,4
540,HEAVY_CPU,881,62
541,LIGHT_IO,881,1
542,HEAVY_CPU,881,47
543,LIGHT_IO,881,4
544,HEAVY_CPU,882,38
545,LIGHT_IO,882,9
546,HEAVY_CPU,884,31
547,HEAVY_CPU,887,20
548,HEAVY_CPU,889,45
549,LIGHT_IO,890,7
550,LIGHT_IO,890,1
551,LIGHT_IO,890,3
552,LIGHT_IO,891,4
553,LIGHT_IO,892,6
554,LIGHT_IO,894,5
555,LIGHT_IO,894,5
556,LIGHT_IO,898,3
557,HEAVY_CPU,898,41
558,HEAVY_CPU,900,44
559,LIGHT_IO,903,6
560,LIGHT_IO,906,2
561,LIGHT_IO,906,5
562,HEAVY_CPU,913,74
563,LIGHT_IO,919,1
564,HEAVY_CPU,919,46
565,LIGHT_IO,919,2
566,LIGHT_IO,920,3
567,HEAVY_CPU,920,33
568,HEAVY_CPU,921,73
569,LIGHT_IO,921,6
570,LIGHT_IO,921,5
571,LIGHT_IO,923,5
572,HEAVY_CPU,926,44
573,LIGHT_IO,929,8
574,LIGHT_IO,929,4
575,LIGHT_IO,929,4
576,LIGHT_IO,931,4
577,LIGHT_IO,941,5
578,LIGHT_IO,941,3
579,HEAVY_CPU,941,69
580,LIGHT_IO,944,5
581,LIGHT_IO,946,4
582,LIGHT_IO,947,4
583,LIGHT_IO,949,3
584,LIGHT_IO,949,2
585,LIGHT_IO,949,7
586,HEAVY_CPU,950,53
587,LIGHT_IO,950,1
588,LIGHT_IO,950,3
589,LIGHT_IO,960,2
590,LIGHT_IO,962,6
591,HEAVY_CPU,963,51
592,LIGHT_IO,964,5
593,LIGHT_IO,965,3
594,HEAVY_CPU,966,38
595,HEAVY_CPU,969,63
596,LIGHT_IO,969,6
597,LIGHT_IO,969,1
598,LIGHT_IO,970,1
599,HEAVY_CPU,972,46
600,LIGHT_IO,972,5
601,HEAVY_CPU,975,39
602,LIGHT_IO,979,6
603,LIGHT_IO,979,6
604,LIGHT_IO,979,6
605,LIGHT_IO,987,4
606,LIGHT_IO,987,3
607,LIGHT_IO,990,2
608,LIGHT_IO,991,5
609,LIGHT_IO,994,5
610,LIGHT_IO,997,4
611,LIGHT_IO,997,3
612,LIGHT_IO,1001,9
613,LIGHT_IO,1009,6
614,HEAVY_CPU,1015,35
615,LIGHT_IO,1016,3
616,HEAVY_CPU,1018,49
617,LIGHT_IO,1018,3
618,HEAVY_CPU,1020,58
619,LIGHT_IO,1023,5
620,LIGHT_IO,1023,7
621,LIGHT_IO,1027,5
622,LIGHT_IO,1027,5
623,HEAVY_CPU,1027,37
624,HEAVY_CPU,1032,57
625,HEAVY_CPU,1032,49
626,LIGHT_IO,1034,5
627,HEAVY_CPU,1034,35
628,LIGHT_IO,1038,8
629,HEAVY_CPU,1039,39
630,LIGHT_IO,1039,5
631,LIGHT_IO,1039,1
632,LIGHT_IO,1039,2
633,LIGHT_IO,1041,6
634,HEAVY_CPU,1042,62
635,HEAVY_CPU,1045,56
636,HEAVY_CPU,1048,56
637,LIGHT_IO,1049,8
638,LIGHT_IO,1051,7
639,LIGHT_IO,1057,4
640,LIGHT_IO,1057,3
641,LIGHT_IO,1057,7
642,LIGHT_IO,1060,1
643,LIGHT_IO,1060,4
644,LIGHT_IO,1062,4
645,HEAVY_CPU,1065,61
646,LIGHT_IO,1066,7
647,LIGHT_IO,1067,3
648,HEAVY_CPU,1067,61
649,LIGHT_IO,1067,3
650,LIGHT_IO,1067,2
651,HEAVY_CPU,1067,48
652,LIGHT_IO,1069,5
653,HEAVY_CPU,1075,43
654,LIGHT_IO,1075,4
655,LIGHT_IO,1075,5
656,LIGHT_IO,1079,7
657,LIGHT_IO,1080,2
658,HEAVY_CPU,1086,55
659,LIGHT_IO,1088,5
660,HEAVY_CPU,1095,52
661,HEAVY_CPU,1095,33
662,LIGHT_IO,1095,5
663,LIGHT_IO,1096,2
664,LIGHT_IO,1096,6
665,LIGHT_IO,1098,4
666,LIGHT_IO,1098,5
667,LIGHT_IO,1098,4
668,HEAVY_CPU,1101,50
669,HEAVY_CPU,1103,38
670,LIGHT_IO,1103,8
671,LIGHT_IO,1106,7
672,LIGHT_IO,1107,2
673,HEAVY_CPU,1108,46
674,LIGHT_IO,1108,5
675,LIGHT_IO,1109,4
676,HEAVY_CPU,1109,52
677,LIGHT_IO,1113,4
678,LIGHT_IO,1114,6
679,LIGHT_IO,1115,3
680,LIGHT_IO,1115,3
681,LIGHT_IO,1116,7
682,LIGHT_IO,1117,7
683,LIGHT_IO,1119,2
684,LIGHT_IO,1119,3
685,HEAVY_CPU,1125,51
686,HEAVY_CPU,1125,56
687,LIGHT_IO,1132,5
688,LIGHT_IO,1135,2
689,LIGHT_IO,1135,4
690,LIGHT_IO,1136,6
691,LIGHT_IO,1137,6
692,LIGHT_IO,1138,1
693,LIGHT_IO,1140,5
694,LIGHT_IO,1141,4
695,HEAVY_CPU,1142,49
696,LIGHT_IO,1142,5
697,LIGHT_IO,1142,5
698,HEAVY_CPU,1143,38
699,HEAVY_CPU,1143,37
700,LIGHT_IO,1143,7
701,HEAVY_CPU,1146,41
702,LIGHT_IO,1148,7
703,LIGHT_IO,1148,7
704,HEAVY_CPU,1151,64
705,LIGHT_IO,1153,5
706,LIGHT_IO,1156,3
707,LIGHT_IO,1157,6
708,HEAVY_CPU,1157,60
709,LIGHT_IO,1158,6
710,HEAVY_CPU,1158,51
711,HEAVY_CPU,1161,45
712,HEAVY_CPU,1161,41
713,LIGHT_IO,1163,4
714,LIGHT_IO,1168,2
715,LIGHT_IO,1168,2
716,LIGHT_IO,1171,6
717,LIGHT_IO,1172,4
718,LIGHT_IO,1172,7
719,HEAVY_CPU,1173,50
720,HEAVY_CPU,1173,53
721,LIGHT_IO,1174,2
722,LIGHT_IO,1177,5
723,LIGHT_IO,1178,5
724,LIGHT_IO,1183,3
725,LIGHT_IO,1183,1
726,LIGHT_IO,1183,6
727,LIGHT_IO,1183,4
728,LIGHT_IO,1184,4
729,LIGHT_IO,1187,7
730,LIGHT_IO,1190,3
731,HEAVY_CPU,1190,63
732,HEAVY_CPU,1194,41
733,HEAVY_CPU,1197,50
734,HEAVY_CPU,1197,55
735,HEAVY_CPU,1203,31
736,HEAVY_CPU,1205,64
737,LIGHT_IO,1206,7
738,HEAVY_CPU,1208,64
739,HEAVY_CPU,1208,42
740,LIGHT_IO,1208,8
741,LIGHT_IO,1213,5
742,LIGHT_IO,1213,5
743,LIGHT_IO,1213,3
744,LIGHT_IO,1213,4
745,LIGHT_IO,1213,4
746,HEAVY_CPU,1214,51
747,LIGHT_IO,1218,2
748,HEAVY_CPU,1219,49
749,LIGHT_IO,1221,7
750,LIGHT_IO,1223,5
751,LIGHT_IO,1226,7
752,LIGHT_IO,1228,6
753,HEAVY_CPU,1230,48
754,LIGHT_IO,1235,11
755,LIGHT_IO,1235,4
756,LIGHT_IO,1237,6
757,LIGHT_IO,1238,5
758,LIGHT_IO,1240,6
759,HEAVY_CPU,1242,47
760,LIGHT_IO,1244,6
761,HEAVY_CPU,1244,34
762,HEAVY_CPU,1244,57
763,LIGHT_IO,1245,6
764,HEAVY_CPU,1245,50
765,HEAVY_CPU,1249,49
766,LIGHT_IO,1261,4
767,LIGHT_IO,1261,2
768,LIGHT_IO,1263,6
769,LIGHT_IO,1264,2
770,LIGHT_IO,1265,6
771,LIGHT_IO,1266,7
772,LIGHT_IO,1266,5
773,LIGHT_IO,1266,7
774,LIGHT_IO,1268,2
775,LIGHT_IO,1272,5
776,LIGHT_IO,1273,5
777,HEAVY_CPU,1273,51
778,LIGHT_IO,1273,2
779,LIGHT_IO,1276,2
780,HEAVY_CPU,1276,59
781,LIGHT_IO,1276,3
782,LIGHT_IO,1277,7
783,LIGHT_IO,1282,3
784,HEAVY_CPU,1289,57
785,LIGHT_IO,1289,4
786,HEAVY_CPU,1290,53
787,LIGHT_IO,1291,5
788,HEAVY_CPU,1291,46
789,LIGHT_IO,1291,4
790,LIGHT_IO,1291,2
791,LIGHT_IO,1292,7
792,LIGHT_IO,1298,3
793,LIGHT_IO,1298,4
794,HEAVY_CPU,1298,71
795,HEAVY_CPU,1300,49
796,LIGHT_IO,1302,6
797,LIGHT_IO,1302,5
798,LIGHT_IO,1302,2
799,LIGHT_IO,1305,6
800,LIGHT_IO,1305,4
801,LIGHT_IO,1306,6
802,HEAVY_CPU,1306,49
803,LIGHT_IO,1312,7
804,LIGHT_IO,1314,1
805,LIGHT_IO,1314,4
806,LIGHT_IO,1314,3
807,HEAVY_CPU,1315,48
808,LIGHT_IO,1316,5
809,LIGHT_IO,1318,4
810,HEAVY_CPU,1319,56
811,LIGHT_IO,1320,1
812,LIGHT_IO,1322,5
813,LIGHT_IO,1327,5
814,HEAVY_CPU,1329,68
815,LIGHT_IO,1330,3
816,HEAVY_CPU,1338,45
817,HEAVY_CPU,1338,64
818,LIGHT_IO,1345,2
819,LIGHT_IO,1345,4
820,LIGHT_IO,1351,5
821,LIGHT_IO,1352,4
822,LIGHT_IO,1352,2
823,LIGHT_IO,1354,1
824,LIGHT_IO,1355,4
825,LIGHT_IO,1355,5
826,LIGHT_IO,1357,6
827,LIGHT_IO,1364,6
828,LIGHT_IO,1364,2
829,LIGHT_IO,1366,6
830,LIGHT_IO,1367,4
831,LIGHT_IO,1369,4
832,LIGHT_IO,1370,6
833,LIGHT_IO,1370,4
834,LIGHT_IO,1370,2
835,LIGHT_IO,1370,5
836,LIGHT_IO,1375,1
837,LIGHT_IO,1377,3
838,LIGHT_IO,1378,8
839,LIGHT_IO,1378,6
840,LIGHT_IO,1388,4
841,LIGHT_IO,1388,6
842,LIGHT_IO,1398,1
843,LIGHT_IO,1399,3
844,LIGHT_IO,1399,7
845,LIGHT_IO,1401,3
846,LIGHT_IO,1401,7
847,HEAVY_CPU,1402,32
848,LIGHT_IO,1404,1
849,LIGHT_IO,1406,3
850,LIGHT_IO,1407,4
851,LIGHT_IO,1408,7
852,LIGHT_IO,1408,8
853,HEAVY_CPU,1408,45
854,LIGHT_IO,1415,5
855,LIGHT_IO,1416,5
856,LIGHT_IO,1417,2
857,LIGHT_IO,1422,4
858,LIGHT_IO,1424,5
859,LIGHT_IO,1425,6
860,LIGHT_IO,1425,5
861,LIGHT_IO,1425,1
862,LIGHT_IO,1425,1
863,LIGHT_IO,1426,3
864,LIGHT_IO,1427,3
865,LIGHT_IO,1431,5
866,HEAVY_CPU,1431,57
867,LIGHT_IO,1431,6
868,LIGHT_IO,1433,4
869,HEAVY_CPU,1434,49
870,LIGHT_IO,1434,2
871,LIGHT_IO,1439,2
872,LIGHT_IO,1439,6
873,HEAVY_CPU,1442,54
874,HEAVY_CPU,1442,54
875,LIGHT_IO,1447,2
876,LIGHT_IO,1447,1
877,HEAVY_CPU,1447,58
878,LIGHT_IO,1448,3
879,HEAVY_CPU,1448,43
880,LIGHT_IO,1449,3
881,HEAVY_CPU,1450,43
882,LIGHT_IO,1453,5
883,LIGHT_IO,1455,8
884,HEAVY_CPU,1456,53
885,LIGHT_IO,1456,4
886,LIGHT_IO,1460,7
887,LIGHT_IO,1461,6
888,LIGHT_IO,1461,6
889,LIGHT_IO,1462,4
890,LIGHT_IO,1476,4
891,HEAVY_CPU,1479,48
892,LIGHT_IO,1481,6
893,HEAVY_CPU,1482,39
894,LIGHT_IO,1483,1
